Sample	localityID	Depth	Month	Year	Alopias_vulpinus	Galeorhinus_galeus	Lamna_nasus	Leucoraja_naevus	Mustelus_asterias	Raja_brachyura	Raja_clavata	Raja_microocellata	Raja_montagui	Raja_undulata	Scyliorhinus_canicula	Scyliorhinus_stellaris	Squalus_acanthias
MBA-2017.09.26-E1-02	E1	2	9	2017	0	0	0	0	0	4	37689	0	1	0	2267	0	0
MBA-2017.09.26-E1-02	E1	2	9	2017	0	0	0	0	0	0	5682	0	3	0	0	0	0
MBA-2017.09.26-L5-01	L5	1	9	2017	0	0	0	0	0	8	91557	1	0	0	30615	0	0
MBA-2017.09.26-L5-01	L5	1	9	2017	0	0	0	0	0	8375	1226	1553	29	0	20735	0	0
MBA-2017.09.26-L5-01	L5	1	9	2017	0	0	0	0	0	0	8812	0	0	0	2	0	0
MBA-2017.09.26-L5-02	L5	2	9	2017	0	0	0	0	0	0	530	0	0	0	0	0	0
MBA-2017.09.26-L5-02	L5	2	9	2017	0	0	0	0	0	13	73518	1	0	0	0	0	0
MBA-2017.09.26-L5-02	L5	2	9	2017	0	0	0	0	0	4	48798	0	884	0	0	0	0
MBA-2017.10.31-E1-01	E1	1	10	2017	0	0	76811	0	0	991701	111802	7	401	0	3	0	0
MBA-2017.10.31-E1-01	E1	1	10	2017	0	0	31770	0	6	107233	294599	4	2185	0	1	2	0
MBA-2017.10.31-E1-01	E1	1	10	2017	0	0	0	2	2	421692	191858	9	16582	0	4	1	0
MBA-2017.10.31-E1-02	E1	2	10	2017	0	0	0	0	24661	56570	7960	7	22653	0	0	0	0
MBA-2017.10.31-E1-02	E1	2	10	2017	0	0	0	0	0	26546	101408	2	13	0	0	0	0
MBA-2017.10.31-E1-02	E1	2	10	2017	0	0	3797	0	0	1205	26631	0	2	0	0	0	0
MBA-2017.10.31-L5-01	L5	1	10	2017	0	0	0	0	0	5	29152	0	0	0	11003	0	0
MBA-2017.10.31-L5-01	L5	1	10	2017	1344	0	0	0	0	2221	1309	0	1	0	147	0	0
MBA-2017.10.31-L5-01	L5	1	10	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.10.31-L5-02	L5	2	10	2017	0	0	0	0	0	21	95009	1	0	0	0	0	0
MBA-2017.10.31-L5-02	L5	2	10	2017	0	0	0	0	0	3	31719	0	0	0	0	0	0
MBA-2017.10.31-L5-02	L5	2	10	2017	0	0	0	0	0	34848	15286	40	65913	0	0	0	0
MBA-2017.11.15-L4-01	L4	1	11	2017	0	0	0	0	1119	5	0	0	714	0	0	0	2529
MBA-2017.11.15-L4-01	L4	1	11	2017	0	0	0	0	42975	46	721	0	217	0	0	0	92
MBA-2017.11.15-L4-01	L4	1	11	2017	0	4403	0	0	0	81	0	3	13875	0	15541	0	0
MBA-2017.11.15-L4-02	L4	2	11	2017	0	0	0	0	384909	13	23	87046	1196	0	0	0	516873
MBA-2017.11.15-L4-02	L4	2	11	2017	0	0	0	0	61458	211	0	12	25142	0	31422	0	76310
MBA-2017.11.15-L4-02	L4	2	11	2017	0	0	0	0	128741	14245	0	60	63808	0	0	0	136231
MBA-2017.11.16-E1-01	E1	1	11	2017	0	0	0	0	0	142	0	11	26476	0	0	0	0
MBA-2017.11.16-E1-01	E1	1	11	2017	0	0	0	0	0	0	0	0	2	0	0	0	0
MBA-2017.11.16-E1-01	E1	1	11	2017	0	0	0	0	0	0	0	0	4	0	0	0	0
MBA-2017.11.16-E1-02	E1	2	11	2017	0	0	0	0	0	1	4637	0	0	0	0	0	0
MBA-2017.11.16-E1-02	E1	2	11	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.11.16-E1-02	E1	2	11	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.11.16-L5-01	L5	1	11	2017	0	0	0	0	0	0	0	1	0	0	0	0	0
MBA-2017.11.16-L5-01	L5	1	11	2017	0	0	0	0	0	3	21574	0	183	0	0	0	0
MBA-2017.11.16-L5-01	L5	1	11	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.11.16-L5-02	L5	2	11	2017	0	0	0	0	0	1115	229	6481	114130	0	0	0	0
MBA-2017.11.16-L5-02	L5	2	11	2017	0	0	0	0	29346	2335	64725	28590	75714	0	86291	45243	44663
MBA-2017.11.16-L5-02	L5	2	11	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.02.06-E1-01	E1	1	2	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.02.06-E1-01	E1	1	2	2018	0	0	0	0	0	0	0	0	0	0	5	0	0
MBA-2018.02.06-E1-01	E1	1	2	2018	0	0	0	0	0	0	0	0	2	0	65	0	0
MBA-2018.02.06-E1-02	E1	2	2	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.02.06-E1-02	E1	2	2	2018	0	0	0	0	2	0	0	0	0	0	0	0	0
MBA-2018.02.06-E1-02	E1	2	2	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.02.06-L5-01	L5	1	2	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.02.06-L5-01	L5	1	2	2018	0	0	0	0	5	230	748	50	121427	0	43	0	5
MBA-2018.02.06-L5-01	L5	1	2	2018	0	0	0	0	2	0	0	0	2	0	0	0	1
MBA-2018.02.06-L5-02	L5	2	2	2018	0	0	0	0	25	15	127739	128	42	0	3	0	0
MBA-2018.02.06-L5-02	L5	2	2	2018	0	0	0	0	2	353072	0	4	7957	0	3	0	0
MBA-2018.02.06-L5-02	L5	2	2	2018	0	0	0	0	3	12	0	0	11	0	9	0	144552
MBA-2018.03.21-E1-01	E1	1	3	2018	0	0	0	0	0	1182	1	168	380851	0	0	0	0
MBA-2018.03.21-E1-01	E1	1	3	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.03.21-E1-01	E1	1	3	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2018.03.21-E1-02	E1	2	3	2018	0	0	0	0	0	910	1	137	415781	0	177598	0	0
MBA-2018.03.21-E1-02	E1	2	3	2018	0	0	0	0	0	407	0	123	191510	0	56466	0	0
MBA-2018.03.21-E1-02	E1	2	3	2018	0	0	0	0	2	1229	0	195	448830	0	0	0	0
MBA-2018.03.21-L5-01	L5	1	3	2018	0	0	0	0	0	1030	1	170	485061	0	0	0	0
MBA-2018.03.21-L5-01	L5	1	3	2018	0	0	0	0	0	1735	0	262	727847	0	0	0	0
